day,CHINA FEIHE LTD,ASSOC BRIT FOODS,ANHEUSER-BUSCH I,KONINKLIJKE AHOL,AIR FRANCE-KLM,AIR LIQUIDE SA,ALSTOM,ALTEN,ATOS SE,BEIERSDORF AG,DANONE,BUNZL PLC,BOOHOO GROUP PLC,BUREAU VERITAS S,LYX CAC 40,CAPGEMINI SE,CARLSBERG-B,CIE FINANCI-REG,COMPASS GROUP,DEUTSCHE BOERSE,DIAGEO PLC,DEUTSCHE POST-RG,DASSAULT SYSTEME,DWS GROUP GMBH &,ESSILORLUXOTTICA,ELIS SA,EURONEXT NV,FIAT CHRYSLER AU,EIFFAGE,GIVAUDAN-REG,HEINEKEN NV,HENKEL AG -PFD,HELLOFRESH SE,THALES SA,INTERTEK GROUP,INDITEX,JERONIMO MARTINS,KERING,KINGFISHER PLC,L'OREAL,PARTNERS GROUP J,PANDORA A/S,PSP SWISS PR-REG,RECKITT BENCKISE,REMY COINTREAU,RELX PLC,PERNOD RICARD SA,SOLUTIONS 30 SE,SEGRO PLC,SGS SA-REG,SEB SA,SWISS PRIME -REG,SCHNEIDER ELECTR,SYMRISE AG,TESCO PLC,PEUGEOT SA,UNILEVER PLC,VIVENDI,VONOVIA SE,WOLTERS KLUWER,WHITBREAD PLC,ZALANDO SE
8-oct.,0,0,0,2,0,6.8,0,0,0,0,0,0.8,14.2,4.1,0,0,4.1,0.5,0,0,0,0,0,3.1,19.1,0.9,0,11.2,0,0,0,0,0,5.4,0.6,0,1.6,0,1.2,0,0,12.3,2.5,0,0.5,0.1,16.4,0,0,0,1.7,0.2,7.9,0,0,15.9,0,0,0.5,0,0,0
9-oct.,0,0,0,0.3,0,6.5,0,0,0,0,0,1.3,17.4,4.1,0,0,3.9,0.8,0,0,0,0.8,0,2.2,20.3,0.9,0,9.8,0,0,0,0,0,7.8,0.5,0,3.2,0,3.8,0,1.1,12.3,1.7,0,0.7,0.1,16.9,0,0,0,2.9,0.3,9.5,0,0,12.1,0,0,0.6,0,0,0
12-oct.,0,0,0,1.2,0,4.9,0,0,0,0,0,0,16.9,4.1,0,0,8.3,1.3,0,0,0,1,0,1.2,18.5,0.7,0,10.7,0,0,0,0,0,7.2,0.4,0,4.6,0,4,1.6,1.5,12.3,1.5,0,1.2,0,17.6,0,0.1,0,3,0.3,12.1,0,0,14.7,0,0,1,0,0,0
13-oct.,0,0,0,0,0,4.8,0,0,0,0,0,0,13.2,4.1,0,0,5.9,1.3,0,0,0,1.7,0,1.2,15.6,0.3,0,9,0,0,0,0,0,3.2,0.5,0,5.6,0,4.8,1.2,0.1,12.3,1.6,0,1.6,0,18.2,0,0,0,3,0.1,13.1,0,0,10.5,0,0,1,0,0,0
16-oct.,0,0,0,0,0,5.5,0,0,0,0,0,0,9.7,4.1,0,0,0,1,5.2,0,0,0.9,0,1.4,8.7,0,0,12.1,0,0,0,0,0,2.6,0.6,2.5,3.6,0,6.8,5.9,0,12.3,2.3,0,1.3,0,18.4,0,0,0,3.9,0,9.6,0,0,18.6,0,0,0.4,0,0,0
20-oct.,0,0,0,0,0,8.2,0,0,0,0,0,1.5,0,4.1,0,0,0,1.8,1.1,0,0,1.3,0,1.1,9.9,0,0,12.1,0,0,0,0,0,1.1,0.8,0,4,0,10.4,5,0,12.3,1.8,0,0,0.1,19.1,0,0,0,4,0,8.4,0.6,0,18.8,0,0,0.3,0,0,0
21-oct.,0,0,0,0.3,0,8.8,0,0,0,0,0,1.3,0,4.1,0,0,0,1,12.1,0,0,0,0,1.3,2.7,0,0.2,11.4,0,0,0,0,0,0,0.9,0,3.6,0,13.1,0.9,0,12.3,2.2,0,0,0.1,18.2,0,0,0,3.1,0,5.8,2,0,17.2,0,0,0,0,0,0
22-oct.,0,0,0,3.5,0,9.1,0,0,0,0,0,2.3,0,4.1,0,0,0,1,12.6,0,0,0,0,1.4,3.5,0,1.3,13.9,0,0,0,0,0,0,1.1,0,2.6,0,11.9,0,0,12.3,2,0,0,0.1,20.6,0,0,0,2.8,0,9.1,2,0,22.4,0,0,0,0,0,0
23-oct.,0,0,0,3.5,0,6.6,0,0,0,0,0,2.5,1.4,4.1,0,0,0,1.3,13.2,0,0,0,0,0.6,7.1,0.6,1.4,15.2,0,0,0,0,0,0,1,0,2.9,0,11,2.9,0,12.3,1.6,0,0,0.1,21.1,0,0,0,2.9,0,11.8,2.8,0,25.2,1.4,0,0,0,0,0
2-nov.,0,0,1.5,2.4,0,10,0,5,0,0,0,2.9,0.5,4.1,0,0,0,0,28,0,0,0,0,3.4,0,0,3.4,12.5,0,0,0,0,0,0,1.9,23,0,12.4,0.1,0,0.3,12.3,2.1,0,0,0.2,28.1,0,0,0,0,0,8.4,16.2,0,15.3,8.6,0,0,0,0,0
